scenario,hour,SI
1,1,0
1,2,0
1,3,1
1,4,1
1,5,0
1,6,1
1,7,0
1,8,1
1,9,1
1,10,1
1,11,0
1,12,0
1,13,0
1,14,0
1,15,1
1,16,0
1,17,0
1,18,0
1,19,0
1,20,0
1,21,0
1,22,1
1,23,1
1,24,1
2,1,1
2,2,0
2,3,0
2,4,1
2,5,1
2,6,0
2,7,0
2,8,1
2,9,0
2,10,1
2,11,0
2,12,0
2,13,0
2,14,1
2,15,1
2,16,0
2,17,0
2,18,0
2,19,0
2,20,0
2,21,1
2,22,0
2,23,0
2,24,1
3,1,1
3,2,1
3,3,1
3,4,0
3,5,1
3,6,0
3,7,0
3,8,1
3,9,0
3,10,0
3,11,1
3,12,1
3,13,1
3,14,1
3,15,1
3,16,1
3,17,1
3,18,0
3,19,0
3,20,0
3,21,0
3,22,0
3,23,1
3,24,1
4,1,0
4,2,1
4,3,0
4,4,1
4,5,0
4,6,1
4,7,1
4,8,1
4,9,1
4,10,1
4,11,1
4,12,1
4,13,1
4,14,1
4,15,0
4,16,1
4,17,0
4,18,1
4,19,1
4,20,0
4,21,1
4,22,0
4,23,0
4,24,0
